ABSOLAN CAMINHONEIRO;ABSOLAN DA SILVA NASCIMENTO
JADE SOLDADOR;JADIEL RAMOS DE ASSUNÇÃO
JAIR DO CHURRASQUINHO;JAIR LOPES MARTINS
JAIRINHO;JAIRO RAMOS DE SOUZA
JAJAI;JAILSON SOARES BISPO
JAQUE CORAÇÃO DE MÃE;CARLA JAQUELINE DOS SANTOS DA SILVA
JESSICA;JESSICA BATISTA DOS SANTOS
JÔ DO IRMÃO DO LANCHE;JOSELI FRANCISCA DE BRITO
JOEL CERQUEIRA;JOEL LUIZ ANDRADE CERQUEIRA
JOKA DA FARMÁCIA;JOEL LISBOA DA SILVA
JORGE GALO;JORGE DE JESUS SILVA
JORGE MECÂNICO;JORGE LUIZ PINHEIRO SOARES
JORGE PASTEL;JORGE ALBERTO LIMA SILVA
JOSIEL CONSTRUVALLE;JOSIEL NASCIMENTO DA ANUNCIAÇÃO
JOSUE SILVA;JOSUE SILVA SANTOS
JUCELINO LIGEIRINHO DO POVO;JUCELINO GOMES DOS SANTOS
JUCI TELES;JUCILENE DANTAS DE SOUZA
JUCY MOTOS;JUCIENE DIAS DOS SANTOS
JUNIOR CAPOEIRA;ANTONIO CARLOS REIS JUNIOR
JÚNIOR MONTAGENS;JOSÉ ANILTON MENDES DA SILVA JÚNIOR
JURACI DA ILHA;JURACI RIBEIRO DA PAIXÃO
KAIQUE DE SOUZA;KAIQUE DOMICIANO DE SOUZA
KASYA;ACASYANDRA JESUS DOS SANTOS
KÁTIA DE MAPELE;KÁTIA DE CÁSSIA SILVA DE JESUS
KÁTIA XARÁ;KATIA MOREIRA DE SANTANA SANTOS
KEU DO FRANGO;CLEITON TEIXEIRA DOS SANTOS FIGUEIRA
LAECIO PICOLÉ;LAECIO DE JESUS SILVA
LEITE;FLORISVALDO LEITE SILVA
LELEL;ALEXSANDRO DOS SANTOS LISBOA
LENE FROZEN;EDILENE DUARTE COELHO
LEO HABILITY;LEONARDO CARMO DOS SANTOS
LÍLIA SANDES;LÍLIA BRITO SANDES
LINDINALVA OLIVEIRA;LINDINALVA SILVA DE OLIVEIRA
LIU DO BOTICÁRIO;GICELI SOARES DO NASCIMENTO
LUCIA DO SOCIAL;MARIA LUCIA FERREIRA DOS REIS
LUCIANA DO GRUPO;LUCIANA DA SILVA CARVALHO
LUCIENE DO POVO;LUCIENE REIS DE OLIVEIRA
LUID MENDES;JOSÉ LUIZ SANTA CRUZ DE JESUS
LUZIA DO OITEIRO;LUZIA FERREIRA SOUZA DOS SANTOS
MALANE SÁ;MALANE SANTANA DE SÁ
MALU FLORES;MARIA DO CARMO NUNES COSTA
MANEZINHO CARTEIRO;MANOEL DE JESUS CORREIA FILHO
MANOEL CARTEIRO;MANOEL DE SANTANA CONCEIÇÃO
MÁRCIA COSTA;MÁRCIA COSTA RIBEIRO
MARCIO CAVALO;MARCIO ROBERTO PEREIRA SOUZA
MARCOS CAMPOS;CARLOS MARCOS SILVA CAMPOS
MARIANA MSTS;MARIANA SANTOS DA SILVA
MARICOTTA;TAIANE REGINA SILVA DA SILVA
MARILENE TELES;MARILENE TELES DA CRUZ
MARIVALDO SIM;MARIVALDO LEAL SANTIAGO
MARLUCIA TANQUE DO CORONEL;MARLUCIA SANTOS DE JESUS
MARTA;JUCILENE MARTA DE JESUS
MATHEUS BACELAR;MATHEUS BACELAR VIEIRA DA SILVA
MAURIÇÃO DE MAPELE;MAURICIO PASSOS SANTOS DE SOUZA
MAX HAACK;MAX NUNES HAACK
MEIRE ORNELAS;ROSEMEIRE ORNELAS BARRETO
MICHEL DANTAS;MICHEL NASCIMENTO DANTAS
MIKINHA;ADEMIR SILVA CRUZ
MINY SANTANA;MILENE SANTANA FERREIRA
MIRA ARAUJO;CLAUDEMIRA SANTOS DE ARAUJO
MIRO DO GALO;PALMIRO DA SILVA PINTO
MISSIONÁRIA ROSE;ROSEMAR SILVA DOS SANTOS
MOISES DO PROJETO TRANSFORMAR;MOISES DOS SANTOS SILVA
NANCI DA SAÚDE;NANCI SOARES DE SOUZA
NARA MAQUEIRA;NARA PATRICIA PEREIRA DOS SANTOS
NECO ALMEIDA;MANOEL ALMEIDA DE JESUS
NEGUINHO;NIVALDO SILVA DORIA
NEGUINHO DO ÔNIBUS;WILSON SANTOS GOES
NEINHA DA SAÚDE;ROSINEIA MARINS BARBOSA
NEIVALDO SCAVELO;NEIVALDO SCAVELO DO AMARAL
NILTON DE JESUS;NILTON PEREIRA DE JESUS
OLIVEIRA;VALDIONOR SILVA DE OLIVEIRA
ORLANDO BASTOS;ORLANDO BASTOS
ORLANDO DE AMADEU;ORLANDO CARVALHO DE SOUZA
ORLANDO EMPREITEIRO;ORLANDO PINHEIRO
PAM DE ZINO RASTA;PÂMELA SANTOS LIMA
PASTOR ALECSON;ALECSON BENTO DA SILVA
PASTOR JÓ;JOSUELI FERREIRA DE SOUZA
PASTOR RICARDO;RICARDO NASCIMENTO FERNANDES
PASTORA ANA PAULA;ANA PAULA MENDES DA COSTA
PASTORA JULIA RIEIRO;JULIA MARIA RIBEIRO MOREIRA DA SILVA
PATRICIA DA CONVEL;PATRICIA SANTOS DE JESUS
PEDRO DA ASSOCIAÇÃO;PEDRO ULICIO DOS SANTOS DA CRUZ
PEDRO DA KOMBI;PEDRO OLIVEIRA DOS SANTOS
PERY;LUIZ CARLOS DA CONCEIÇÃO MACHADO
PETRONIO;PETRONIO DE SOUSA SANTOS
PEU;JENILSON DOS SANTOS
PRÓ EDILENE;EDILENE PEREIRA DE SANTANA
PRÓ NUBIA DO CIA I;NUBIA RIBEIRO DOS SANTOS
PRO ZENE;ZENEIDE DE ANDRADE NEPOMUCENO DE AZEVEDO
PROF WESLLEY DAMASCENO;WESLLEY SANTOS DAMASCENO
PROFESSOR LIMA;JOSÉ FERREIRA LIMA FILHO
PROFESSORA ELIETE;ELIETE SANTOS DE JESUS
PROFESSORA MÔNICA QUEIROZ;MÔNICA QUEIROZ DE OLIVEIRA
PROFESSORA NILZETE;NILZETE CERQUEIRA DA SILVA
QUILDER VAQUEIRO;QUILDER WILLAMES DE SANTANA ALMEIDA JÚNIOR
RAIMUNDO BIGODE;JOSÉ RAIMUNDO DA SILVA CARDOSO
RAMON LACERDA;RAMON ALVES LACERDA
RASTA;ROZIMARIO DE SOUZA SANTOS
RENATO;RENATO DA CRUZ ANUNCIAÇÃO
REY DA PIZZA;OSMAN MIRANDA DOS ANJOS
RIBEIRO DO SOCIAL;JOSÉ RIBEIRO GARCÊS
RICARDO FIGUEIREDO;JOSÉ RICARDO CARDOSO FIGUEIREDO
ROBERTO SHORT;ROBERTO JORGE FORTUNA SHORT
ROBERTO SOUZA;ROBERTO CARDOSO SOUZA
ROBINHO TATOO;ROBERLAN CAIQUE SILVA DE ASSIS
RONALDO DO SINDICATO;RONALDO CESAR ALCANTARA LIRA
ROQUE DA LITORAL;COSME MOTA
ROSA DO OITEIRO;ROSANGELA FERREIRA GOMES
ROSEVALDO BATISTA;ROSEVALDO BATISTA DOS SANTOS
ROTSEN CAMPOS;ROTSEN OLIVEIRA CAMPOS
RUBINHO DO POVO;JOSÉ RUBEM LIMA DA SILVA FILHO
SAMUEL JUNIOR;SAMUEL DOS SANTOS ALMEIDA FILHO
SANDRO MOREIRA;SANDRO MOREIRA GONÇALVES
SÉRGIO DA ACCI;SÉRGIO LIMA OLIVEIRA
SÉRGIO DE MAPELE;JOSÉ SERGIO VIEIRA DOS SANTOS
SERGIO DO UNO;SERGIO BARBOSA DA SILVA
SERGIO FERREIRA;SERGIO FERREIRA DA SILVA
SÉRGIO MOTA;SÉRGIO MOTA PEREIRA
SHIRLEY CLARK;SHIRLEY CLARK DE CARVALHO MOTA
SID SERRA;SIDNEY SERRA SANTANA
SID VEICULOS;SIDINEY MONTEIRO DE SANTANA
SILVANA CARDOSO MAGALHÃES;SILVANA CARDOSO MAGALHÃES
SILVANEI DA EDUCAÇÃO;SILVANEI SILVA DO NASCIMENTO
SIMONE CARDEAL;SIMONE CARDEAL OLIVEIRA
SOLANGE ATLETA;SOLANGE CARVALHO DOS SANTOS DA PAIXAO
STELA BONITA;TEREZA STELA DE OLIVEIRA
SULY;SUELY COSTA BATISTA DA SILVA
TAI DO DETOX;ALTAIR FERREIRA CARVALHO
TAIANA BASTOS;TAIANA DA SILVA BASTOS
TAMARA ARRICHETTA;TAMARA NACHA ARRICHETTA VARJÃO
TÂNIA IRMÃ DE AZAZA;TÂNIA REGINA RODRIGUES FERREIRA
TATA CARVALHO;MARILUCIA PINTO DE CARVALHO
TETINHA DO AIPIM;SINEVALDO LIMA DA SILVA
THIAGO CAXIAS;THIAGO XAVIER CAXIAS DE SOUZA
THIAGO MISTER;THIAGO BARROS BRITO
TIA DINHA;ELINEIDE GOMES DOS SANTOS
TIA SONIA;SÔNIA MARIA DA SILVA SANTOS
TITA DO POVO;CRISTIANE BARBOSA DO COUTO
VAGNER MEDEIROS;VAGNER MEDEIROS DA SILVA
VANESSA LIMA;VANESSA DOS SANTOS MORAES
VÂNIA CONTADORA;VÂNIA PASSOS DA SILVA SANTIAGO
VÂNIA SANTANA;VÂNIA MOREIRA DE SANTANA
VAVAL DO SAMBA;CLERISVALDO ROCHA DOS REIS
VEL DO POVO;EVERALDO DA SILVA
VENTURA;MANUEL DA SILVA VENTURA
VERA;VERA LUCIA DOS SANTOS COSTA
WELIA DE PRETA;WELIA CARDOSO SANTOS
ZÉ DO FERRO VELHO;JOSÉ CARLOS FERREIRA DOS SANTOS
ZETE;HILZETE COSTA DE OLIVEIRA
DEL;DEVALDO SOARES DE SOUZA
EDSON ALMEIDA;EDSON ALMEIDA DE JESUS
KADU SILVA MAVERICK;CARLOS EDUARDO SANTOS DA SILVA
